bias,cand_sampler,n_voters,n_candidates,time_steps,trial,ks_distance_start,cs_distance_start,ks_distance_true,cs_distance_true,entrywise_distance
1.3,Sample,14,3,46.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,51.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,56.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,61.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,66.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,71.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,76.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,81.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,86.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,91.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,96.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,101.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,106.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,111.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,116.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,121.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,126.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,131.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,136.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,141.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,146.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,151.,12,20.,20.,12.,12.,13.8260869565
1.3,Sample,14,3,1.,13,2.,2.,20.,20.,0.
1.3,Sample,14,3,6.,13,20.,20.,6.,6.,13.2293001502
1.3,Sample,14,3,11.,13,24.,24.,6.,6.,13.7997556677
1.3,Sample,14,3,16.,13,24.,24.,6.,6.,13.8249037693
1.3,Sample,14,3,21.,13,24.,24.,6.,6.,13.8260329829
1.3,Sample,14,3,26.,13,24.,24.,6.,6.,13.8260844636
1.3,Sample,14,3,31.,13,24.,24.,6.,6.,13.8260868402
1.3,Sample,14,3,36.,13,24.,24.,6.,6.,13.826086951
1.3,Sample,14,3,41.,13,24.,24.,6.,6.,13.8260869563
