bias,cand_sampler,n_voters,n_candidates,time_steps,trial,sparse,grouped,credibility,knowledge,ego,selfknowledge,similarity,meta,substantative,cyclic_start,condorcet_start,unique_start,proximity_to_voter_sp_start,proximity_to_cand_sp_start,cyclic_end,condorcet_end,unique_end,proximity_to_voter_sp_end,proximity_to_cand_sp_end,cyclic_true,condorcet_true,unique_true,proximity_to_voter_sp_true,proximity_to_cand_sp_true
3.,Voter,4,7,2.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,4,2,5,false,false,4,2,5
3.,Voter,4,7,3.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,4,2,5,false,false,4,2,5
3.,Voter,4,7,4.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,true,4,2,5,false,false,4,2,5
3.,Voter,4,7,5.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,false,4,2,5,false,false,4,2,5
3.,Voter,4,7,6.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,false,4,2,5,false,false,4,2,5
3.,Voter,4,7,7.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,false,4,2,5,false,false,4,2,5
3.,Voter,4,7,8.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,false,4,2,5,false,false,4,2,5
3.,Voter,4,7,9.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,false,4,2,5,false,false,4,2,5
3.,Voter,4,7,10.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,false,4,2,5,false,false,4,2,5
3.,Voter,4,7,11.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,false,4,2,5,false,false,4,2,5
3.,Voter,4,7,12.,1,false,true,false,false,false,false,true,true,true,false,false,4,3,4,false,false,4,2,5,false,false,4,2,5
